CASE Number,Accident Date,Accident Time,Day of Week,Nearest Street,At Intersection,Precinct,Zone ID,Number of Vehicles Involved,Location 1
2017051331.0,12/31/2017,240,SUN,LONDON BRIDGE RD,Yes,2.0,222.0,2,"VIRGINIA BEACH BL
VIRGINIA BEACH, VA
"
2016020735.0,05/25/2016,1231,WED,DAHLIA DR,Yes,4.0,426.0,2,"1900 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.795804, -76.115741)"
2016027219.0,07/03/2016,1809,SUN,3001 OLE TOWNE LA,Yes,1.0,127.0,3,"900 LYNNHAVEN RD S
VIRGINIA BEACH, VA
(36.811247, -76.072651)"
2016023369.0,06/11/2016,1350,SAT,FALLBROOK BD,Yes,3.0,326.0,2,"945 DIAMOND SPRINGS RD
VIRGINIA BEACH, VA
(36.872636, -76.171885)"
2017051130.0,12/29/2017,1534,FRI,264,300 Feet From,3.0,320.0,2,"420 LYNNHAVEN PW
VIRGINIA BEACH, VA
"
2016026285.0,06/28/2016,730,TUE,DAMASCUS TL,Yes,1.0,124.0,2,"2799 HOLLAND RD
VIRGINIA BEACH, VA
(36.771347, -76.068547)"
2016024411.0,06/17/2016,208,FRI,200 19TH ST,Yes,2.0,227.0,2,"1900 PACIFIC AV
VIRGINIA BEACH, VA
(36.847094, -75.976103)"
2016024704.0,06/18/2016,1917,SAT,EMBERS DR,Yes,4.0,424.0,1,"3633 BRANNON DR
VIRGINIA BEACH, VA
(36.768072, -76.135693)"
2016024189.0,06/15/2016,1615,WED,WELDON ST,Yes,3.0,329.0,2,"1536 INDEPENDENCE BL
VIRGINIA BEACH, VA
(36.891086, -76.138711)"
2017051192.0,12/29/2017,2221,FRI,ONONDAGA RD,Yes,3.0,324.0,3,"100 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.840958, -76.136728)"
2016023534.0,06/11/2016,1231,SAT,LILA LA,Yes,4.0,421.0,2,"5300 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.797743, -76.175351)"
2017051128.0,12/29/2017,1508,FRI,1102 WARWICK DR,Yes,1.0,126.0,2,"3264 HOLLAND RD
VIRGINIA BEACH, VA
(36.798313, -76.08453)"
2017051268.0,12/30/2017,1311,SAT,CENTERVILLE TP,150 Feet From,4.0,421.0,3,"5500 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.800953, -76.181782)"
2017051354.0,12/31/2017,1243,SUN,TABLE ROCK RD,Yes,4.0,427.0,3,"HOLLAND RD
VIRGINIA BEACH, VA
"
2017051280.0,12/30/2017,1522,SAT,RIVER OAK DR,00.50 Miles From,1.0,125.0,1,"3618 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.740974, -76.112092)"
2016029195.0,07/16/2016,1015,SAT,LYNNHAVEN DR,Yes,2.0,220.0,2,"2158 GREAT NECK RD N
VIRGINIA BEACH, VA
(36.905106, -76.067285)"
2017051185.0,12/29/2017,2126,FRI,SKI LODGE RD,Yes,4.0,428.0,2,"1598 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.794855, -76.103246)"
2016020704.0,05/25/2016,729,WED,3200 VERMEER DR,Yes,1.0,126.0,2,"1100 WARWICK DR
VIRGINIA BEACH, VA
(36.798935, -76.081208)"
2016008077.0,03/02/2016,1951,WED,300 BIRDNECK RD,Yes,2.0,225.0,2,"1000 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.842029, -75.993452)"
2016019566.0,05/18/2016,928,WED,HUTTON LA,Yes,2.0,222.0,2,"2499 OCONEE AV
VIRGINIA BEACH, VA
(36.843584, -76.055849)"
2016026843.0,07/01/2016,1549,FRI,KINGS GRANT RD,Yes,3.0,321.0,2,"3100 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.843304, -76.078667)"
2017051360.0,12/31/2017,1345,SUN,COMMUTER DR,Yes,4.0,426.0,2,"1400 S INDEPENDENCE BL
VIRGINIA BEACH, VA
(36.821116, -76.126774)"
2016020420.0,05/23/2016,1415,MON,FRONT COVE CT,Yes,2.0,221.0,2,"2400 SHOREHAVEN DR
VIRGINIA BEACH, VA
(36.885432, -76.052256)"
2016025092.0,06/21/2016,920,TUE,32ND ST,Yes,2.0,226.0,2,"3199 ARCTIC AV
VIRGINIA BEACH, VA
(36.859757, -75.981465)"
2017051015.0,12/28/2017,1545,THU,PRINCESS ANNE RD,500 Feet From,1.0,121.0,2,"1992 GUM BRIDGE RD
VIRGINIA BEACH, VA
(36.67982, -76.017175)"
2017051323.0,12/31/2017,122,SUN,CONDOR ST,100 Feet From,3.0,325.0,2,"400 PEREGRINE ST
VIRGINIA BEACH, VA
(36.849929, -76.160892)"
2016024989.0,06/20/2016,1635,MON,200 57TH ST,Yes,2.0,226.0,2,"5700 ATLANTIC AVE
VIRGINIA BEACH, VA
(36.883339, -75.986554)"
2016024701.0,06/18/2016,1840,SAT,NEWTOWN RD,Yes,4.0,423.0,0,"605 NEWTOWN RD
VIRGINIA BEACH, VA
(36.860053, -76.17493)"
2016020951.0,05/26/2016,1623,THU,LYNNHAVEN PW,Yes,4.0,428.0,2,"1298 ROSEMONT RD S
VIRGINIA BEACH, VA
(36.795462, -76.098528)"
2016024967.0,06/20/2016,1501,MON,NEW BRIDGE RD,Yes,1.0,122.0,2,"1319 SANDBRIDGE RD
VIRGINIA BEACH, VA
(36.73204, -75.985165)"
2016027462.0,07/05/2016,5,TUE,WINDSOR OAKS BL,Yes,4.0,426.0,2,"1700 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.809185, -76.120376)"
2018000065.0,01/01/2018,1508,MON,WOLFSNARE RD,100 Feet From,2.0,223.0,1,"817 BENJAMIN PL
VIRGINIA BEACH, VA
(36.853903, -76.030223)"
