,GPIN,Street Address,Zip Code,Neighborhood,Land Value,Improvement Value,Total Value,Land USE (Y/N),Sale Date,Sale Price,Document Number,Deed Book,Deed Page,Location 1
331525,24083745234550,2120 Sanctuary Ct,23454-2257,Great Neck Landing,38000.0,$74600,112600.0,No,06/21/2006,175000.0,20060531000819110,,,"2120 Sanctuary Ct
Virginia Beach, VA 23454-2257
(36.875452, -76.037006)"
307833,14686976302030,1270 Foursome Ln,23455-6820,Cypress Point Commons,52700.0,$88200,140900.0,No,06/17/2013,159500.0,20130618000702580,,,"1270 Foursome Ln
Virginia Beach, VA 23455-6820
(36.884202, -76.162491)"
415833,14842605480000,2160 Wisdom Arch,23456,Village Bend,117000.0,$260700,377700.0,No,03/08/2012,319500.0,20120309000265120,,,"2160 Wisdom Arch
Virginia Beach, VA 23456
(36.764339, -76.113337)"
14613,15900097051720,2416 Starfish Rd,23451-1228,Bfrnt/Bayside Casa Del Playa,190000.0,$125800,315800.0,No,09/14/2005,390000.0,200508030121020,,,"2416 Starfish Rd
Virginia Beach, VA 23451-1228
(36.911503, -76.07787)"
97300,14642609810000,912 Creston Ct,23464-8241,Charlestowne Lakes So R5d,87000.0,$120900,207900.0,No,05/17/2006,235000.0,20060404000508790,,,"912 Creston Ct
Virginia Beach, VA 23464-8241
(36.766553, -76.181568)"
125795,14840972230000,3939 Kiwanis Loop,23456-4909,Salem Lakes Th,49000.0,$86000,135000.0,No,12/20/2006,159000.0,20061121001751530,,,"3939 Kiwanis Loop
Virginia Beach, VA 23456-4909
(36.771699, -76.117253)"
360451,14861523010000,711 Weymouth Ct,23462-4927,Timberlake Sec 1-12,74500.0,$124900,199400.0,No,01/25/1999,0.0,000000000000000,3999.0,918.0,"711 Weymouth Ct
Virginia Beach, VA 23462-4927
(36.815582, -76.114216)"
123308,24078938580000,1652 Laurel Ln,23451-5969,Laurel Manor,94500.0,$84000,178500.0,No,11/30/1992,68193.0,000000000000000,3154.0,1780.0,"1652 Laurel Ln
Virginia Beach, VA 23451-5969
(36.853522, -76.020256)"
162664,24087711530000,1260 Alanton Dr,23454-2525,Linkhorn Cove,327600.0,$241100,568700.0,No,08/26/1991,212000.0,000000000000000,3012,1248.0,"1260 Alanton Dr
Virginia Beach, VA 23454-2525
(36.874049, -76.024229)"
93579,14770679590000,425 Rose Marie Ave,23462-5518,Aragona Village,75900.0,$105200,181100.0,No,03/10/2014,129600.0,20140310000201300,,,"425 Rose Marie Ave
Virginia Beach, VA 23462-5518
(36.848623, -76.148886)"
