Number	TP	Status	TN	TN.TP	Chl.a	pH	Secchi.Depth	Colour	Temperature	Latitude	Longitude	Cyanobacteria	Anabaena	Microcystis	logCyano.1
12	24	Mesotrophic	440	11.0	12.0	8.0	2.2	20	20.4	61.01	22.12	0.048	0.003	0.0	-3.03655426807425
54	20	Mesotrophic	840	42.0	18.0	6.9	1.2	100	18.8	61.46	23.02	0.2184	0.057999999999999996	0.0	-1.5214270351113897
15	8	Oligotrophic	370	46.3	3.2	7.0	5.3	15	18.5	61.03	23.15	0.0165	0.002	0.0	-4.104394898075601
23	67	Eutrophic	990	14.8	36.0	7.4	0.4	160	19.4	61.24	23.19	0.0718	0.0	0.0	-2.63387080292796
44	39	Eutrophic	810	20.8	26.0	8.9	0.5	60	20.1	60.5	23.29	0.3256	0.07	0.018000000000000002	-1.12208564485375
46	16	Mesotrophic	600	37.5	6.7	6.9	2.0	80	18.4	60.1	23.34	0.0016	0.0	0.0	-6.437751649736401
1	3	Oligotrophic	310	103.3	1.6	7.4	5.5	10	18.8	60.1	23.34	0.001	0.0	0.001	-6.9077552789821395
39	9	Oligotrophic	390	43.3	3.2	7.4	3.5	15	21.0	60.14	23.4	0.1092	0.022000000000000002	0.005	-2.21457421567133
65	8	Oligotrophic	1300	162.5	58.0	8.7	0.3	60	21.5	60.14	23.4	4.297	2.01	1.9340000000000002	1.45791710479286
45	16	Mesotrophic	770	48.1	4.7	6.6	1.7	110	16.5	62.17	23.44	0.0288	0.0	0.0	-3.54737989184024
30	52	Mesotrophic	680	0.7	31.0	7.4	8.0	14	19.3	60.47	23.45	0.8194	0.14300000000000002	0.168	-0.199182913869366
61	7	Oligotrophic	340	48.6	2.6	6.1	2.6	60	21.4	62.03	23.47	0.035	0.0	0.0	-3.3524072174927206
33	28	Mesotrophic	540	19.3	22.0	6.2	1.2	160	20.1	62.04	23.49	0.001372	0.0	0.0	-6.59148574967844
24	52	Eutrophic	1400	26.9	84.0	10.0	0.9	50	20.9	61.17	23.5	2.1638	0.08800000000000001	0.024	0.771865935271336
41	26	Mesotrophic	880	33.8	12.0	7.7	2.0	50	19.7	60.12	23.54	0.0391	0.003	0.005	-3.2416328119908195
40	23	Mesotrophic	720	31.3	11.0	7.9	1.7	40	20.6	60.12	23.54	0.146	0.0	0.0	-1.9241486572738
25	17	Mesotrophic	450	26.5	6.9	7.3	2.3	15	19.5	62.07	23.57	0.3991	0.005	0.0	-0.9185432669274491
38	12	Mesotrophic	300	25.0	1.2	7.3	5.0	10	20.3	60.17	24.0	0.012	0.001	0.0	-4.42284862919414
58	11	Mesotrophic	390	35.5	3.7	7.4	2.4	15	18.6	61.16	24.03	0.0528	0.002	0.0	-2.9412440882699196
57	11	Eutrophic	370	8.0	3.7	7.3	2.8	20	19.6	61.29	24.05	0.098	0.0	0.0	-2.32278780031156
52	35	Eutrophic	1100	31.4	17.0	7.7	0.9	110	20.2	60.21	24.1	0.3982	0.006999999999999999	0.005	-0.9208008873520409
31	8	Oligotrophic	350	43.8	5.0	7.2	3.2	40	19.3	60.43	24.12	0.0354	0.005	0.0	-3.3410434588424103
26	27	Mesotrophic	1200	44.4	16.0	7.7	2.5	60	18.0	61.08	24.16	0.46799999999999997	0.005	0.391	-0.7592869830644899
53	69	Eutrophic	1100	15.9	42.0	8.1	0.55	150	22.8	60.24	24.18	0.16699999999999998	0.071	0.003	-1.7897614665653798
10	12	Mesotrophic	400	33.3	8.6	7.4	2.3	25	17.2	61.32	24.2	0.0375	0.006	0.001	-3.28341434600577
60	7	Oligotrophic	490	70.0	3.1	6.1	4.1	25	21.6	60.16	24.3	0.034	0.0	0.0	-3.38139475436598
5	28	Mesotrophic	540	19.3	11.0	7.7	2.3	35	19.3	60.59	24.3	0.4379	0.055999999999999994	0.0	-0.8257647051747841
17	30	Mesotrophic	690	23.0	35.0	7.2	1.3	40	18.2	61.1	24.31	0.1713	0.003	0.043	-1.76433887365206
48	10	Mesotrophic	410	41.0	5.6	7.6	3.2	25	19.6	61.12	24.35	0.05	0.001	0.002	-2.99573227355399
3	5	Oligotrophic	230	46.0	11.0	6.5	3.4	15	20.6	60.18	24.37	0.1682	0.034	0.0	-1.7826015314432901
16	5	Oligotrophic	370	74.0	4.4	7.3	3.7	15	18.7	60.18	24.37	0.1479	0.003	0.0	-1.91121890926538
8	50	Eutrophic	640	12.8	36.0	7.6	1.0	90	19.2	60.51	24.37	0.2178	0.054000000000000006	0.022000000000000002	-1.52417806848328
32	10	Mesotrophic	480	48.0	8.3	5.8	1.7	100	18.4	61.19	24.4	0.0004	0.0	0.0	-7.82404601085629
55	9	Oligotrophic	360	40.0	2.6	7.3	3.0	20	21.0	61.19	24.4	0.0496	0.0	0.0	-3.0037644452512597
68	5	Oligotrophic	580	116.0	4.7	7.2	3.6	40	22.1	62.46	25.03	0.075	0.0	0.022000000000000002	-2.5902671654458302
50	13	Mesotrophic	1400	107.7	6.3	7.3	1.8	65	19.1	61.03	25.07	0.1364	0.001	0.0	-1.9921635335727799
7	12	Mesotrophic	530	44.2	4.4	7.3	5.0	30	15.4	61.29	25.41	0.0464	0.001	0.002	-3.07045581974993
21	49	Eutrophic	740	15.1	30.0	8.3	0.5	50	20.9	60.32	25.42	0.7833	0.44	0.001	-0.244239514608944
22	32	Mesotrophic	580	18.1	9.2	7.3	1.0	60	21.6	60.23	25.45	0.1595	0.027000000000000003	0.025	-1.83571135675724
56	35	Eutrophic	670	19.1	27.0	7.8	1.8	40	19.6	60.23	25.45	0.9884	0.152	0.49	-0.0116678048676821
67	7	Oligotrophic	470	67.1	7.2	7.7	2.8	15	22.5	60.49	26.13	0.337	0.05	0.043	-1.08767234862978
66	6	Oligotrophic	490	81.7	4.9	7.5	2.8	25	22.1	60.58	26.16	0.171	0.069	0.0	-1.7660917224794799
71	10	Mesotrophic	370	37.0	15.0	7.1	2.7	10	17.2	60.1	26.28	0.884	0.0	0.228	-0.123298216344494
43	11	Mesotrophic	600	54.5	4.9	7.3	3.0	45	21.2	60.1	26.28	0.028999999999999998	0.001	0.0	-3.54045944899566
