text,replies,retweets,favorites,user,party,state,year,month
Saw the flooding devastation firsthand. Glad the Minnesotans will get the federal individual assistance they need. https://t.co/QXVy8E4ECv,0,5,47,AMYKLOBUCHAR,D,MN,2016,November
Many vets have invisible wounds. Proud that bill I led with @senjohnthune that improves the Veteran Suicide Crisis Line was signed into law.,7,43,227,AMYKLOBUCHAR,D,MN,2016,November
Agree with this and today we we got it out of bill. Keep the spotlight on industry payments to doctors https://t.co/lIAkh6SYxS,12,25,62,AMYKLOBUCHAR,D,MN,2016,November
"Great to speak at GWU with @DanaBashCNN, @FrankSesno, @ChrisCoons, &amp; @SenatorLankford about finding common ground.",11,16,58,AMYKLOBUCHAR,D,MN,2016,November
Senate passed bill releasing data on benefits of outdoor recreation. Fought for this because it helps create jobs &amp; strengthen MN's economy.,10,28,232,AMYKLOBUCHAR,D,MN,2016,November
"Congrats, Amed, on being one of this year's 32 Rhodes Scholars! You've earned it and made Minnesota proud. https://t.co/t7Kd9mfU9Y",5,18,140,AMYKLOBUCHAR,D,MN,2016,November
Met many who've lost loved ones to this. Hope guidelines reinforce that distracted driving isn't worth it. https://t.co/QImhHTnrJc,2,8,35,AMYKLOBUCHAR,D,MN,2016,November
"This weekend, the Hmong community in Minnesota celebrates a new year. May this year be filled with joy. https://t.co/l6nXfOCRpH",11,49,337,AMYKLOBUCHAR,D,MN,2016,November
Congrats @MAP_MN on winning @BushFoundation's Community Innovation award for fighting violence against women &amp; kids. https://t.co/OLbIMM6eud,0,17,54,AMYKLOBUCHAR,D,MN,2016,November
RT @BM_UCare: It was great to see you @amyklobuchar at the #HmongNewYear #UCareCommunityRelations https://t.co/LdKu4rgplG,1,7,58,AMYKLOBUCHAR,D,MN,2016,November
Ready for @GopherFootball to take on Wisconsin today. Know our #Gophers can bring home the win!,3,13,72,AMYKLOBUCHAR,D,MN,2016,November
"This morning, I visited Patina for Small Business Saturday. It's so important to #shopsmall. https://t.co/LhScfeiM5s",6,27,301,AMYKLOBUCHAR,D,MN,2016,November
"Thoughts are with people of Cuba. Hope to begin new chapter of political, economic, &amp; human rights progress &amp; renewed US-Cuba relations.",8,41,245,AMYKLOBUCHAR,D,MN,2016,November
Fidel Castro Dies at 90 - The New York Times https://t.co/kVdQWYtD2s,3,12,26,AMYKLOBUCHAR,D,MN,2016,November
"Mother-in-law,sister-in-law, Abigail&amp;me w/greenbean casserole, cheeseball, pies&amp;pumpkin full of wine. Can't beat th_ https://t.co/IOJMcETPkD",10,19,346,AMYKLOBUCHAR,D,MN,2016,November
That Vikings game put me in a bad mood. The only way out of it is Thanksgiving dinner w/John's family. Look forward to Abigail's pies!,14,7,189,AMYKLOBUCHAR,D,MN,2016,November
We are watching the Vikings game with my dad today! We are looking for a Thanksgiving win! #skol,6,9,128,AMYKLOBUCHAR,D,MN,2016,November
Happy Thanksgiving! At the Mall of America today for the @mnhungerwalk. Thankful for the generosity of the 5000 wal_ https://t.co/KENVNrjv7A,3,21,148,AMYKLOBUCHAR,D,MN,2016,November
I will be Beth. https://t.co/9cSrIDzhbI,16,46,250,AMYKLOBUCHAR,D,MN,2016,November
"Thanksgiving news for farmers! During time of low commodity prices, final renewable fuel rule much better! Worked hard on this w/MN farmers",3,27,132,AMYKLOBUCHAR,D,MN,2016,November
"Minnesota is number one in turkey production. This Thanksgiving, thank a farmer! https://t.co/VovaCZMX5t",7,25,105,AMYKLOBUCHAR,D,MN,2016,November
