Car,Class,Disp,FuelType,HwyMPG
1,Compact,3.1,P,25
2,Compact,3.1,P,25
3,Compact,3,P,25
4,Compact,3,P,25
5,Compact,3,P,25
6,Compact,3,P,25
7,Compact,2.4,P,25
8,Compact,3.5,P,25
9,Compact,3,P,25
10,Compact,2.4,P,24
11,Compact,2.8,P,24
12,Compact,2.5,P,24
13,Compact,3,P,24
14,Compact,2.5,P,24
15,Compact,2.4,R,24
16,Compact,5.3,P,24
17,Compact,6,P,24
18,Compact,3.5,R,24
19,Compact,3.5,R,24
20,Compact,3.5,R,24
21,Compact,3.5,R,24
22,Compact,3.5,R,24
23,Compact,3.8,R,24
24,Compact,3.5,R,24
25,Compact,3.5,P,24
26,Compact,5.3,P,24
27,Compact,4.6,P,24
28,Compact,3.5,P,24
29,Compact,4.2,P,24
30,Compact,4.6,P,24
31,Compact,4.6,P,24
32,Compact,4.6,P,24
33,Compact,3.5,P,24
34,Compact,3.6,P,24
35,Compact,3.2,P,24
36,Compact,3.2,P,24
37,Compact,3.5,R,24
38,Compact,2.4,R,24
39,Compact,3.5,R,24
40,Compact,3.5,R,24
41,Compact,3.2,P,23
42,Compact,4.2,P,23
43,Compact,4.8,P,23
44,Compact,4.8,P,23
45,Compact,3.5,P,23
46,Compact,4.6,R,23
47,Compact,4.6,R,23
48,Compact,5.7,R,23
49,Compact,5.7,R,23
50,Compact,4.6,R,23
51,Compact,4.6,R,23
52,Compact,4.2,P,23
53,Compact,4.2,P,23
54,Compact,4.8,P,23
55,Compact,3.5,P,23
56,Compact,3,P,23
57,Compact,4.4,P,23
58,Compact,3,P,22
59,Compact,3.9,R,22
60,Compact,3.5,P,22
61,Compact,4.2,P,22
62,Compact,4.2,P,22
63,Compact,4.6,R,22
64,Compact,4.6,R,22
65,Compact,3.5,R,22
66,Compact,5.7,R,22
67,Compact,5.7,R,22
68,Compact,3.5,R,22
69,Compact,4.8,P,22
70,Compact,3,P,22
71,Compact,4.2,P,22
72,Compact,5,P,22
73,Compact,3.5,P,22
74,Compact,5.5,P,22
75,Compact,4.2,P,21
76,Compact,5.5,P,21
77,Compact,5.5,P,21
78,Compact,4.5,P,21
79,Compact,5.5,P,21
80,Compact,4.6,P,21
81,Compact,4.2,P,20
82,Compact,4.2,P,20
83,Compact,6,P,20
84,Compact,4.5,P,20
85,Compact,5.5,P,20
86,Compact,6,P,19
87,Compact,5.2,P,19
88,Compact,5.2,P,19
89,Compact,4.4,P,19
90,Compact,5.5,P,19
91,Compact,6.2,P,19
92,Compact,6.2,P,18
93,Compact,6.2,P,18
94,Compact,6.1,P,18
95,Compact,6.1,P,18
96,Compact,4.6,R,18
97,Compact,4.6,R,18
98,Compact,6.1,P,18
99,Compact,5.5,P,17
100,Compact,5.5,P,17
101,Compact,6.2,P,17
102,Compact,6,P,17
103,Compact,5.5,P,17
104,Compact,5,P,17
105,Compact,5,P,17
106,Compact,5.5,P,16
107,Compact,6,P,16
108,Compact,5.5,P,16
109,Compact,6,P,16
110,Compact,5.7,P,16
111,Compact,5.7,P,15
112,Midsize,1.8,R,37
113,Midsize,2,R,35
114,Midsize,1.6,R,35
115,Midsize,1.8,R,35
116,Midsize,1.6,R,34
117,Midsize,2.4,R,34
118,Midsize,2,R,33
119,Midsize,1.6,R,33
120,Midsize,2,R,33
121,Midsize,2,R,33
122,Midsize,1.8,R,33
123,Midsize,2.5,R,33
124,Midsize,2,R,33
125,Midsize,1.6,R,32
126,Midsize,1.6,R,32
127,Midsize,1.6,R,32
128,Midsize,2,R,32
129,Midsize,2.4,R,32
130,Midsize,2,R,32
131,Midsize,1.8,R,32
132,Midsize,2.5,R,32
133,Midsize,2.4,R,32
134,Midsize,2,P,31
135,Midsize,2.4,R,31
136,Midsize,2,R,31
137,Midsize,2,R,31
138,Midsize,2.4,R,31
139,Midsize,2.4,R,31
140,Midsize,2.4,R,31
141,Midsize,2.4,R,31
142,Midsize,2.4,R,31
143,Midsize,2.2,R,31
144,Midsize,2.4,R,31
145,Midsize,2.4,R,31
146,Midsize,2.5,R,31
147,Midsize,1.8,R,31
148,Midsize,2,R,31
149,Midsize,2.4,R,31
150,Midsize,2.4,R,31
151,Midsize,2,P,30
152,Midsize,2.4,R,30
153,Midsize,2.4,R,30
154,Midsize,2,R,30
155,Midsize,2.4,R,30
156,Midsize,2.4,R,30
157,Midsize,2.4,R,30
158,Midsize,2.4,R,30
159,Midsize,2,R,30
