income	age	zip	purchase
107.135	53	0	No
86.013	47	0	No
106.25	54	1	Yes
85.361	57	1	Yes
79.897	50	0	No
120.134	53	1	Yes
99.678	53	0	No
82.818	47	0	No
86.864	52	0	No
82.21	49	0	No
108.887	58	1	Yes
80.151	54	1	No
120.087	51	0	Yes
93.09	51	1	No
93.83	53	1	No
98.217	55	0	Yes
71.891	49	1	Yes
109.552	51	1	Yes
106.304	56	0	No
91.353	55	0	No
87.656	42	0	No
136.386	41	1	Yes
82.914	55	0	No
117.836	59	0	Yes
86.11	51	0	No
105.401	56	1	No
98.812	54	0	No
79.015	50	0	No
101.788	47	1	Yes
86.922	44	1	No
85.032	49	0	No
138.012	40	1	Yes
129.462	37	0	No
133.963	34	0	Yes
62.224	52	1	No
95.087	55	1	Yes
